Date,Close/Last,Volume,Open,High,Low
09/07/2025,111078.00,N/A,110636.00,111343.00,110631.00
09/06/2025,110508.00,N/A,111197.00,110589.00,110186.00
09/05/2025,111052.00,N/A,111311.00,111313.00,110555.00
09/04/2025,111250.00,N/A,111146.00,111484.00,110453.00
09/03/2025,111222.00,N/A,111054.00,112189.00,111217.00
09/02/2025,111116.00,N/A,110325.00,111754.00,110899.00
09/01/2025,110428.00,N/A,107688.00,110600.00,108896.00
08/31/2025,107478.00,N/A,109201.00,108450.00,107408.00
08/30/2025,109347.00,N/A,108435.00,109484.00,108807.00
08/29/2025,108389.00,N/A,111727.00,108424.00,107433.00
08/28/2025,111789.00,N/A,112003.00,112617.00,111332.00
08/27/2025,111882.00,N/A,111437.00,112015.00,110888.00
08/26/2025,111657.00,N/A,109877.00,111829.00,110924.00
08/25/2025,109887.00,N/A,112979.00,110118.00,108768.00
08/24/2025,113276.00,N/A,115036.00,113665.00,112176.00
08/23/2025,114979.00,N/A,115563.00,115663.00,114939.00
08/22/2025,115501.00,N/A,112922.00,117024.00,115455.00
08/21/2025,113003.00,N/A,113962.00,113522.00,112343.00
08/20/2025,114089.00,N/A,113532.00,114776.00,113912.00
08/19/2025,113494.00,N/A,114857.00,113644.00,112688.00
08/18/2025,114896.00,N/A,115338.00,116729.00,114890.00
08/17/2025,115222.00,N/A,117694.00,117553.00,115017.00
08/16/2025,117480.00,N/A,118971.00,117915.00,117257.00
08/15/2025,117575.00,N/A,118988.00,117915.00,117257.00
08/14/2025,118947.00,N/A,123362.00,119098.00,118057.00
08/13/2025,123361.00,N/A,119481.00,124437.00,123282.00
08/12/2025,119572.00,N/A,118865.00,120181.00,119102.00
08/11/2025,118867.00,N/A,121737.00,119278.00,118619.00
08/10/2025,118121.00,N/A,116528.00,119109.00,116468.00
08/09/2025,118171.00,N/A,116387.00,118482.00,116468.00
08/08/2025,116383.00,N/A,116745.00,116753.00,116364.00
