Date,Close/Last,Volume,Open,High,Low
09/08/2025,4303.26,N/A,4311.80,4314.46,4277.48
09/07/2025,4317.57,N/A,4297.36,4330.07,4279.38
09/06/2025,4293.64,N/A,4322.87,4303.28,4271.64
09/05/2025,4319.89,N/A,4329.35,4327.84,4303.05
09/04/2025,4327.24,N/A,4397.57,4334.58,4292.00
09/03/2025,4397.25,N/A,4336.01,4481.61,4389.94
09/02/2025,4335.18,N/A,4367.03,4353.20,4283.52
09/01/2025,4373.77,N/A,4406.08,4393.92,4291.71
08/31/2025,4391.63,N/A,4483.65,4430.37,4364.77
08/30/2025,4469.94,N/A,4352.51,4469.94,4373.73
08/29/2025,4354.74,N/A,4491.42,4380.93,4260.87
08/28/2025,4498.92,N/A,4541.66,4513.67,4436.53
08/27/2025,4535.35,N/A,4606.00,4546.13,4468.85
08/26/2025,4613.68,N/A,4400.83,4617.16,4540.72
08/25/2025,4402.20,N/A,4725.74,4450.86,4320.12
08/24/2025,4751.12,N/A,4789.97,4796.61,4671.43
08/23/2025,4782.35,N/A,4694.61,4817.13,4755.32
08/22/2025,4683.92,N/A,4278.28,4831.22,4663.42
08/21/2025,4269.15,N/A,4294.80,4314.39,4222.57
08/20/2025,4305.89,N/A,4141.63,4339.33,4278.71
08/19/2025,4138.35,N/A,4217.84,4158.29,4069.39
08/18/2025,4218.03,N/A,4322.94,4353.58,4218.03
08/17/2025,4311.15,N/A,4452.83,4480.05,4289.51
08/16/2025,4437.52,N/A,4638.61,4489.73,4413.83
08/15/2025,4437.38,N/A,4633.41,4489.73,4432.91
08/14/2025,4629.58,N/A,4775.42,4649.17,4539.71
08/13/2025,4766.44,N/A,4647.19,4776.40,4709.89
08/12/2025,4648.05,N/A,4286.46,4648.05,4566.19
08/11/2025,4285.15,N/A,4308.09,4309.26,4223.41
08/10/2025,4198.30,N/A,4279.12,4330.30,4163.41
08/09/2025,4241.88,N/A,4050.95,4330.30,4217.34
