Date,Close/Last,Volume,Open,High,Low
09/08/2025,213.918,N/A,207.623,214.855,210.934
09/07/2025,207.86,N/A,202.867,208.922,205.655
09/06/2025,202.188,N/A,204.269,203.167,200.148
09/05/2025,204.027,N/A,203.547,204.633,203.198
09/04/2025,203.49,N/A,208.147,203.992,201.085
09/03/2025,208.143,N/A,210.086,211.931,207.62
09/02/2025,210.084,N/A,201.856,211.915,207.454
09/01/2025,201.95,N/A,198.582,203.194,196.824
08/31/2025,197.953,N/A,205.459,202.416,196.96
08/30/2025,205.461,N/A,205.617,206.579,202.859
08/29/2025,205.786,N/A,216.943,206.585,201.043
08/28/2025,217.357,N/A,208.134,217.765,212.249
08/27/2025,207.343,N/A,202.00,207.973,201.773
08/26/2025,201.772,N/A,186.852,202.085,193.861
08/25/2025,187.536,N/A,209.139,189.289,185.804
08/24/2025,210.632,N/A,209.01,213.382,202.312
08/23/2025,208.308,N/A,198.163,211.749,204.434
08/22/2025,198.096,N/A,181.734,200.697,195.296
08/21/2025,181.515,N/A,188.42,183.498,180.03
08/20/2025,188.749,N/A,180.489,189.938,185.535
08/19/2025,180.469,N/A,178.549,181.49,176.108
08/18/2025,178.488,N/A,182.783,185.788,178.472
08/17/2025,182.575,N/A,191.622,191.32,181.937
08/16/2025,187.856,N/A,197.008,188.284,185.424
08/15/2025,187.637,N/A,195.212,188.284,185.424
08/14/2025,194.851,N/A,207.914,195.625,192.192
08/13/2025,207.783,N/A,197.806,208.989,200.77
08/12/2025,198.512,N/A,175.583,199.391,191.487
08/11/2025,175.735,N/A,185.139,176.742,174.854
08/10/2025,181.946,N/A,181.239,186.167,177.588
08/09/2025,185.49,N/A,177.268,185.927,179.823
